"name","pubCode","description","startDate","endDate"
"cfc.chlQAQF","OK","no issues to report",2012-01-01,NA
"cfc.chlQAQF","criteria not met","observed values for chlorophyll quality assurance material analyzed along with samples did not meet acceptance criteria",2012-01-01,NA
"cfc.chlQAQF","not available","chlorophyll quality assurance material not analyzed",2012-01-01,NA
"cfc.chlRelativeAccuracyScale","A","observed value of run QA material(s) within 0-5% of known value",2012-01-01,NA
"cfc.chlRelativeAccuracyScale","B","observed value of run QA material(s) within 5-10% of known value",2012-01-01,NA
"cfc.chlRelativeAccuracyScale","C","observed value of run QA material(s) within 10-20% of known value",2012-01-01,NA
"cfc.chlRelativeAccuracyScale","D","observed value of run QA material(s) greater than 20% deviation from known value",2012-01-01,NA
"cfc.chlRelativeAccuracyScale","not available","an appropriate QA material was not run along with sample, cannot evaluate",2012-01-01,NA
"cfc.chlSampleCondition","OK","foliage in ok condition, no issues to report",2012-01-01,NA
"cfc.chlSampleCondition","wilted","foliage wilted",2012-01-01,NA
"cfc.chlSampleCondition","brown","foliage brown",2012-01-01,NA
"cfc.chlSampleCondition","thawed","foliage not maintained frozen prior to analysis",2012-01-01,NA
"cfc.chlSampleCondition","wilted","foliage wilted",2012-01-01,NA
"cfc.chlSampleCondition","brown","foliage brown",2012-01-01,NA
"cfc.chlSampleCondition","thawed","foliage not maintained frozen prior to analysis",2012-01-01,NA
"cfc.chlSampleCondition","other","other foliage condition, noted in remarks",2012-01-01,NA
"cfc.chlSampleType","purified chlorophyll","purified chlorophyll",2012-01-01,NA
"cfc.chlSampleType","standard leaves","standard leaves",2012-01-01,NA
"cfc.chlSampleType","spirulina","spirulina",2012-01-01,NA
"cfc.chlSampleType","other","other",2012-01-01,NA
"cfc.eleAnalyte","calcium","calcium",2012-01-01,NA
"cfc.eleAnalyte","phosphorus","phosphorus",2012-01-01,NA
"cfc.eleAnalyte","potassium","potassium",2012-01-01,NA
"cfc.eleAnalyte","magnesium","magnesium",2012-01-01,NA
"cfc.eleAnalyte","sulfur","sulfur",2012-01-01,NA
"cfc.eleAnalyte","manganese","manganese",2012-01-01,NA
"cfc.eleAnalyte","iron","iron",2012-01-01,NA
"cfc.eleAnalyte","copper","copper",2012-01-01,NA
"cfc.eleAnalyte","boron","boron",2012-01-01,NA
"cfc.eleAnalyte","zinc","zinc",2012-01-01,NA
"cfc.eleAnalyteUnits","percent","percent",2012-01-01,NA
"cfc.eleAnalyteUnits","mg per kg","mg per kg",2012-01-01,NA
"cfc.elementsQF","OK","data ok, no issue to report",2012-01-01,NA
"cfc.elementsQF","sample value outlier","the measured value of the analyte for the sample is a high-value outlier, results were confirmed before reporting",2012-01-01,NA
"cfc.elementsQF","sample value outlier - soil contamination","the measured value of the analyte for the sample is a high-value outlier likely due to soil contamination, results were confirmed before reporting",2012-01-01,NA
"cfc.elementsQF","sample value outlier - reanalysis not possible","the measured value of the analyte for the sample is a high-value outlier, results were not confirmed due to insufficient sample",2012-01-01,NA
"cfc.elementsQF","standard value out of range","the measured value of the analyte for the standard analyzed as unknown did not meet NEON quality assurance criteria, samples could not be rerun",2012-01-01,NA
"cfc.elementsQF","other","some other issue with measurements related to the analyte, with details in remarks",2012-01-01,NA
"cfc.leafSamplePosition","top of crown","leaf or needle material sampled from the top of the crown",2012-01-01,NA
"cfc.leafSamplePosition","side of crown","leaf or needle material sampled from the sunlit side of the crown",2012-01-01,NA
"cfc.leafSamplePosition","mixture","leaf or needle material sampled from a mixture of the top and sunlit side of the crown",2012-01-01,NA
"cfc.lmaSampleCondition","OK","Sample condition ok",2012-01-01,NA
"cfc.lmaSampleCondition","cold chain broken","Cold chain broken",2012-01-01,NA
"cfc.lmaSampleCondition","invalid fresh mass","Error while taking fresh mass measurement, invalid value, not recorded",2012-01-01,NA
"cfc.lmaSampleCondition","invalid leaf area","Error with scanned lead area measurement, invalid value, data removed",2012-01-01,NA
"cfc.lmaSampleCondition","samples held longer than 5 days before processing","Samples held longer than 5 days before processing, deviation from protocol",2012-01-01,NA
"cfc.lmaSampleCondition","samples experienced freeze-thaw","Samples were accidentally frozen for a period, then thawed, prior to processing",2012-01-01,NA
"cfc.lmaSampleCondition","incorrect scanning procedure, blurry image","A different scanner was used compared to the one specified in the protocol, images reviewed and confirmed blurry",2012-01-01,NA
"cfc.lmaSampleCondition","incorrect scanning procedure, unknown quality impact","A different scanner was used compared to the one specified in the protocol, image not available for review thus quality impact unknown",2012-01-01,NA
"cfc.lmaSampleCondition","stems and reproductive tissues included in scan","Stems and reproductive tissues were erroneously included in the scanned image",2012-01-01,NA
"cfc.lmaSampleCondition","other","Other (specified in remarks)",2012-01-01,NA
"cfc.plantStatus","OK","Any individual or assemblage that is of typical mature, healthy, peak-green status for the ecosystem in question at the time of sampling",2012-01-01,2019-01-01
"cfc.plantStatus","Insect damaged","Visible damage caused by insects; type noted in remarks if possible (e.g., mountain pine beetle, gypsy moth, etc.)",2012-01-01,2019-01-01
"cfc.plantStatus","Disease damaged","Visible damage cause by disease; type noted in remarks if possible (e.g., Blister Rust, rot, canker, etc.)",2012-01-01,2019-01-01
"cfc.plantStatus","Physically damaged","Visible damage caused by a physical processes; details noted in remarks if possible (e.g., broken stem, snow/ice damage, crushed, struck by lightning, bole scorch, etc.)",2012-01-01,2019-01-01
"cfc.plantStatus","Other damage","Visible damage of unknown origin; details noted in remarks if possible",2012-01-01,2019-01-01
"cfc.plantStatus","OK","Any individual or assemblage that is of typical mature, healthy, peak-green status for the ecosystem in question at the time of sampling",2018-01-01,NA
"cfc.plantStatus","Insect damaged","Visible damage caused by insects; type noted in remarks if possible (e.g., mountain pine beetle, gypsy moth, etc.)",2018-01-01,NA
"cfc.plantStatus","Disease damaged","Visible damage cause by disease; type noted in remarks if possible (e.g., Blister Rust, rot, canker, etc.)",2018-01-01,NA
"cfc.plantStatus","Physically damaged","Visible damage caused by a physical processes; details noted in remarks if possible (e.g., broken stem, snow/ice damage, crushed, struck by lightning, bole scorch, etc.)",2018-01-01,NA
"cfc.plantStatus","Other damage","Visible damage of unknown origin; details noted in remarks if possible",2018-01-01,NA
"cfc.plantStatus","Leaves not fully expanded","Leaves not yet mature, individual or assemblage likely sampled early in the season or following a disturbance (e.g., fire)",2018-01-01,NA
"cfc.plantStatus","Leaves beginning to senesce","Leaves beginning to senesce, individual or assemblage likely sampled outside of peak green conditions or stressed (e.g., drought, heat, etc.)",2018-01-01,NA
"cfc.plantStatus","Most leaves senesced","Most leaves senesced, individual or assemblage likely sampled outside of peak green conditions",2018-01-01,NA
"cfc.sampleCondition","OK","Sample condition ok",2012-01-01,NA
"cfc.sampleCondition","cold chain broken","Cold chain broken",2012-01-01,NA
"cfc.sampleCondition","dried and brown tissue, representative of the plot","Dried and brown tissue sampled since that was the dominant condition in that plot",2012-01-01,NA
"cfc.sampleCondition","other","Other (specified in remarks)",2012-01-01,NA
"cfc.sampleType","Woody individual","Foliar material from a woody individual",2012-01-01,NA
"cfc.sampleType","Herbaceous clip strip","Foliar material from an herbaceous clip strip",2012-01-01,NA
"cfc.samplingMethod","clippers","Clippers used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","pole pruner","Ploe Pruner used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","line launcher","Line launcher used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","slingshot","Slingshot used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","shotgun","Shotgun used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","tree climbers","Tree climbers used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","other","Other method used to collect foliage samples",2012-01-01,NA
"cfc.samplingMethod","UAS","Unoccupied aerial system used to collect foliage samples",2012-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vD","Version D of the Canopy Foliage Sampling protocol used",2012-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vE","Version E of the Canopy Foliage Sampling protocol used",2012-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vF","Version F of the Canopy Foliage Sampling protocol used",2018-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vH","Version H of the Canopy Foliage Sampling protocol used",2019-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vJ","Version J of the Canopy Foliage Sampling protocol used",2022-01-01,NA
"cfc.samplingProtocolVersion","NEON.DOC.001024vK","Version K of the Canopy Foliage Sampling protocol used",2023-01-01,NA
"cfc.tissueDescriptor","leaf","Leaf (including petiole) or needle material used for analysis",2012-01-01,NA
"cfc.tissueDescriptor","photosynthetic stem","Photosynthetic stem used for analysis",2012-01-01,NA
"cfc.tissueDescriptor","other","Other plant parts used for analysis",2012-01-01,NA
"cfc.toxicodendron","Y","Sample may contain Toxicodendron spp",2012-01-01,NA
"cfc.toxicodendron","N","Sample does not contain Toxicodendron spp",2012-01-01,NA
"cfc.vstTag","Y","Individual sampled for canopy foliage is tagged for vegetation structure monitoring, more data expected in vst product",2012-01-01,NA
"cfc.vstTag","N","Individual sampled for canopy foliage is not tagged for vegetation structure monitoring, no vst data expected",2012-01-01,NA
"cfc.vstTag","unknown","Individual was sampled for canopy foliage before vegetation structure monitoring began, unsure if vst data will be available",2012-01-01,NA
"hbp.subplotID","31_400","subplotID 31_400",2012-01-01,NA
"hbp.subplotID","21_400","subplotID 21_400",2012-01-01,NA
"hbp.subplotID","23_400","subplotID 23_400",2012-01-01,NA
"hbp.subplotID","39_400","subplotID 39_400",2012-01-01,NA
"hbp.subplotID","41_400","subplotID 41_400",2012-01-01,NA
"Identification Qualifiers","cf. species","roughly equals but 'not sure' about the species",2012-01-01,NA
"Identification Qualifiers","aff. species","similar to but is not the species",2012-01-01,NA
"Identification Qualifiers","cf. genus","roughly equals but 'not sure' about the genus",2012-01-01,NA
"Identification Qualifiers","aff. genus","similar to but is not the genus",2012-01-01,NA
"Identification Qualifiers","cf. subspecies","roughly equals but 'not sure' about the subspecies",2012-01-01,NA
"Identification Qualifiers","aff. subspecies","similar to but is not the subspecies",2012-01-01,NA
"Identification Qualifiers","cf. family","roughly equals but 'not sure' about the family",2012-01-01,NA
"Identification Qualifiers","aff. family","similar to but is not the family",2012-01-01,NA
"Identification Qualifiers","cf. variety","roughly equals but 'not sure' about the variety",2012-01-01,NA
"Identification Qualifiers","aff. variety","similar to but is not the variety",2012-01-01,NA
"identificationRemarks","Nomenclatural adjustment","The determination has been updated because of a change in the taxonomic concept",2012-01-01,NA
"identificationRemarks","Determination updated by expert","A taxonomic expert has indicated that this determination should be updated",2012-01-01,NA
"identificationRemarks","Out of geographic range","The geographic range of the taxon in this determination does not include the location where this observation was made",2012-01-01,NA
"identificationRemarks","Out of phenotypic range","Measurement of one or more phenotypic traits of the specimen suggest the determination should be updated",2012-01-01,NA
"identificationRemarks","BOLD mismatch","BOLD data suggest this determination should be updated",2012-01-01,NA
"identificationRemarks","Transcription error","There was a data entry error and this determination needed to be corrected",2012-01-01,NA
"identificationRemarks","Field determination error","Field determination error",2012-01-01,NA
"identificationRemarks","Other - see remarks","Other - see remarks",2012-01-01,NA
"identificationRemarks","Genetic analysis","Taxonomic identity was determined by genetic analysis (e.g., PCR)",2012-01-01,NA
"ltr.functionalGroup","Leaves","Leaves and leaf material from broadleaf species",2012-01-01,NA
"ltr.functionalGroup","Needles","Needles from conifierous species",2012-01-01,NA
"ltr.functionalGroup","Twigs/branches","Small twigs and branches less than 2cm diameter",2012-01-01,NA
"ltr.functionalGroup","Woody material","Woody material including cones, bark, and other lignified tissue",2012-01-01,NA
"ltr.functionalGroup","Seeds","Seeds and attached structures",2012-01-01,NA
"ltr.functionalGroup","Flowers","Flowers and other non-woody reproductive structures",2012-01-01,NA
"ltr.functionalGroup","Other","Lichen, mosses, and other unidentifiable material",2012-01-01,NA
"ltr.functionalGroup","Mixed","Mixed, unsorted material",2012-01-01,NA
"ltr.ligAccuracyQF","OK","observed values of run QA material fall within acceptance criteria",2012-01-01,NA
"ltr.ligAccuracyQF","run QA criteria not met","observed values of run QA material do not fall within acceptance criteria, samples cannot be re-run",2012-01-01,NA
"ltr.ligAnalyte","lignin","lignin",2012-01-01,NA
"ltr.ligAnalyte","cellulose","cellulose",2012-01-01,NA
"ltr.ligAnalyteUnits","percent","percent",2012-01-01,NA
"ltr.ligMeasurementQF","OK","sample data ok, no issues to report",2012-01-01,NA
"ltr.ligMeasurementQF","other","other issue with the sample measurement, more detail in remarks",2012-01-01,NA
"ltr.ligMeasurementQF","possible sample leakage - increased uncertainty","blank bag correction indicates potential fiber particle loss during digestion, value has increased uncertainty",2012-01-01,NA
"ltr.ligMeasurementQF","sample value outlier","sample value is an outlier, use with caution",2012-01-01,NA
"ltr.sampleCondition","OK","OK",2015-11-01,NA
"ltr.sampleCondition","Cold chain broken","Cold chain broken",2015-11-01,NA
"ltr.sampleCondition","Compromised","Sample integrity compromised during collection, drying or weighing, sample discarded",2015-11-01,NA
"ltr.sampleCondition","Lost","Sample lost after collection and before measurement of dryMass",2015-11-01,NA
"ltr.sampleCondition","Gloves not worn for field collection","Gloves not worn for field collection, relevant to potential litter biogeochemistry bouts",2022-01-01,NA
"ltr.sampleCondition","Gloves not worn during lab sorting","Gloves not worn during lab sorting, relevant to potential litter biogeochemistry bouts",2022-01-01,NA
"ltr.sampleCondition","Gloves not worn for field collection or lab sorting","Gloves not worn for field collection or lab sorting, relevant to potential litter biogeochemistry bouts",2022-01-01,NA
"ltr.sampleCondition","Other (specified in remarks)","Other",2015-11-01,NA
"ltr.samplingProtocolVersion","NEON.DOC.001710vC","Protocol version C",2012-01-01,2020-04-01
"ltr.samplingProtocolVersion","NEON.DOC.001710vD","Protocol version D",2012-01-01,2020-04-01
"ltr.samplingProtocolVersion","NEON.DOC.001710vE","Protocol version E",2012-01-01,2020-04-01
"ltr.samplingProtocolVersion","NEON.DOC.001710vF","Protocol version F",2012-01-01,2020-04-01
"ltr.samplingProtocolVersion","NEON.DOC.001710vG","Protocol version G",2012-01-01,2020-04-01
"ltr.samplingProtocolVersion","NEON.DOC.001710vH","Protocol version H",2019-03-01,NA
"ltr.samplingProtocolVersion","Prototype - 2020","Functional groups pooled by site for chemical analyses prototype, not in published protocol. See DPUG for details.",2020-03-01,NA
"ltr.samplingProtocolVersion","NEON.DOC.001710vJ","Protocol version J",2022-01-01,NA
"ltr.trapCondition","OK - Litter collected - Trap in good shape, no issues","OK - Litter collected - Trap in good shape, no issues",2012-01-01,NA
"ltr.trapCondition","TE - Litter not collected - trap empty","TE - Litter not collected - trap empty",2012-01-01,NA
"ltr.trapCondition","HO - Litter not collected - Holes large enough for leaves to pass through","HO - Litter not collected - Holes large enough for leaves to pass through",2012-01-01,NA
"ltr.trapCondition","TB - Litter not collected - trap blocked","TB - Litter not collected - trap blocked",2012-01-01,NA
"ltr.trapCondition","TT - Litter not collected - trap tilted","TT - Litter not collected - trap tilted",2012-01-01,NA
"ltr.trapCondition","RE - Litter not collected - trap broken, requires replacement","RE - Litter not collected - trap broken, requires replacement",2012-01-01,NA
"ltr.trapCondition","TS - Litter not collected, not discarded - trap skipped","TS - Litter not collected, not discarded - trap skipped",2012-01-01,NA
"ltr.trapCondition","PF - Litter collected - Trap previously flooded","PF - Litter collected - Trap previously flooded",2012-01-01,NA
"ltr.trapCondition","NS - Litter collected - non-standard sampling event (see remarks)","NS - Litter collected - non-standard sampling event (see remarks)",2012-01-01,NA
"ltr.trapCondition","LD - Litter discarded - collection outside protocol guidelines","Litter discarded - collection outside protocol guidelines",2012-01-01,NA
"ltr.trapPlacement","Random","Trap location based on random selection",2012-01-01,NA
"ltr.trapPlacement","Targeted","Trap location based on targeted selection",2012-01-01,NA
"ltr.trapType","Elevated","Elevated trap",2012-01-01,NA
"ltr.trapType","Ground","Ground trap",2012-01-01,NA
"ntr.ammoniumNQF","OK","No issues to report",2012-01-01,NA
"ntr.ammoniumNQF","below method detection limit","Sample ammonium N concentration below the minimum detection limit",2012-01-01,NA
"ntr.ammoniumNQF","blank value outlier","Blank value flagged an an outlier",2012-01-01,NA
"ntr.ammoniumNQF","blanks exceed sample value","Mean concentration value of the three blanks extracted with the sample is higher than the observed sample concentration",2012-01-01,NA
"ntr.ammoniumNQF","other","Other issue, described in remarks",2012-01-01,NA
"ntr.analyte","NH4-N","Measurement of ammonium N",2012-01-01,NA
"ntr.analyte","NO3+NO2-N","Measurement of nitrate + nitrite N",2012-01-01,NA
"ntr.analyteUnits","milligramsPerLiter","Unit of measurement is milligrams per liter",2012-01-01,NA
"ntr.labSampleCondition","ok","Sample maintained frozen until analysis, no issue to report",2012-01-01,NA
"ntr.labSampleCondition","thawed but cold","Sample thawed but stayed cold prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","thawed and warm","Sample thawed and warmed prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","leaked","Sample leaked prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","thawed but cold","Sample thawed but stayed cold prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","thawed and warm","Sample thawed and warmed prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","leaked","Sample leaked prior to analysis",2012-01-01,NA
"ntr.labSampleCondition","other","Other issue, typically noted in remarks",2012-01-01,NA
"ntr.nitrateNitriteNQF","OK","No issues to report",2012-01-01,NA
"ntr.nitrateNitriteNQF","below method detection limit","Sample nitrate + nitrite N concentration below the minimum detection limit",2012-01-01,NA
"ntr.nitrateNitriteNQF","blank value outlier","Blank value flagged an an outlier",2012-01-01,NA
"ntr.nitrateNitriteNQF","blanks exceed sample value","Mean concentration value of the three blanks extracted with the sample is higher than the observed sample concentration",2012-01-01,NA
"ntr.nitrateNitriteNQF","other","Other issue, described in remarks",2012-01-01,NA
"ntr.sampleCondition","OK","Sample condition OK",2012-01-01,NA
"ntr.sampleCondition","soil stored at incorrect temperature","Soil stored at incorrect temperature",2012-01-01,NA
"ntr.sampleCondition","sample cup leaked during extraction","Sample cup leaked during extraction",2012-01-01,NA
"ntr.sampleCondition","extract stored at incorrect temperature","Extract stored at incorrect temperature",2012-01-01,NA
"ntr.sampleCondition","extract thawed but cold","Extract thawed but cold",2020-09-01,NA
"ntr.sampleCondition","extract thawed and warm","Extract thawed and warm",2020-09-01,NA
"ntr.sampleCondition","other","Other (specified in remarks)",2012-01-01,NA
"ntr.sampleCondition","mass uncertain","Mass of soil used for extraction is approximate",2012-01-01,NA
"ntr.sampleCondition","volume uncertain","Volume of potassium chloride used for extraction is approximate",2012-01-01,NA
"ntr.sampleCondition","sample lost","Sample was lost, no inorganic nitrogen data in ntr_externalLab expected",2012-01-01,NA
"ntr.sampleType","water","Analyte dissolved in water",2012-01-01,NA
"ntr.sampleType","KCl","Analyte dissolved in potassium chloride",2012-01-01,NA
"samplingImpractical","location dry","location dry",2012-01-01,NA
"samplingImpractical","location frozen","location frozen",2012-01-01,NA
"samplingImpractical","location snow covered","location snow covered",2012-01-01,NA
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01,NA
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01,NA
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01,NA
